Dose in , Sclera:1_1.stl , 683.318  , picoGy
Dose in , Applikator:1_6.stl , 0  , picoGy
Dose in , Netzhaut:1_15.stl , 3.17887  , nanoGy
Dose in , Kammerwasser:1_4.stl , 1.66317  , nanoGy
Dose in , Kammerwasser:1_6.stl , 3.2628  , nanoGy
Dose in , Choroidea:1_19.stl , 1.55533  , nanoGy
Dose in , Applikator:1_4.stl , 1.65122  , nanoGy
Dose in , Netzhaut:1_17.stl , 2.38727  , nanoGy
Dose in , Sclera:1_3.stl , 1.37235  , nanoGy
Dose in , Linse:1_2.stl , 0  , picoGy
Dose in , Sehnerv:1_1.stl , 0  , picoGy
Dose in , Glaskörper:1_23.stl , 0  , picoGy
Dose in , Cornea:1_3.stl , 0  , picoGy
Dose in , Netzhaut:1_3.stl , 2.61503  , nanoGy
Dose in , Netzhaut:1_2.stl , 5.39368  , nanoGy
Dose in , Cornea:1_2.stl , 0  , picoGy
Dose in , Sehnerv:1_0.stl , 700.244  , picoGy
Dose in , Glaskörper:1_22.stl , 0  , picoGy
Dose in , Sclera:1_2.stl , 1.87441  , nanoGy
Dose in , Linse:1_3.stl , 0  , picoGy
Dose in , Netzhaut:1_16.stl , 1.21899  , nanoGy
Dose in , Applikator:1_5.stl , 156.229  , picoGy
Dose in , Choroidea:1_18.stl , 1.65671  , nanoGy
Dose in , Kammerwasser:1_7.stl , 0  , picoGy
Dose in , Sclera:1_16.stl , 2.1028  , nanoGy
Dose in , Choroidea:1_1.stl , 0  , picoGy
Dose in , Glaskörper:1_9.stl , 1.41747  , nanoGy
Dose in , Glaskörper:1_8.stl , 0  , picoGy
Dose in , Choroidea:1_0.stl , 5.61063  , nanoGy
Dose in , Sclera:1_17.stl , 1.48257  , nanoGy
Dose in , Sclera:1_15.stl , 1.0207  , nanoGy
Dose in , Choroidea:1_2.stl , 2.16208  , nanoGy
Dose in , Choroidea:1_3.stl , 1.67492  , nanoGy
Dose in , Sclera:1_14.stl , 0  , picoGy
Dose in , Parafovea:1_2.stl , 0  , picoGy
Dose in , Sclera:1_10.stl , 1.09071  , nanoGy
Dose in , Choroidea:1_7.stl , 384.467  , picoGy
Dose in , Choroidea:1_6.stl , 1.2144  , nanoGy
Dose in , Sclera:1_11.stl , 3.91898  , nanoGy
Dose in , Parafovea:1_3.stl , 0  , picoGy
Dose in , Parafovea:1_1.stl , 0  , picoGy
Dose in , Sclera:1_13.stl , 3.73918  , nanoGy
Dose in , Choroidea:1_4.stl , 1.70984  , nanoGy
Dose in , Choroidea:1_5.stl , 0  , picoGy
Dose in , Sclera:1_12.stl , 0  , picoGy
Dose in , Parafovea:1_0.stl , 0  , picoGy
