Dose in ,Glaskörper:1_26.stl, 5.89972, nanoGy
Dose in ,Sehnerv:1_4.stl, 0, picoGy
Dose in ,Cornea:1_6.stl, 0, picoGy
Dose in ,Netzhaut:1_6.stl, 1.93971, nanoGy
Dose in ,Netzhaut:1_7.stl, 0, picoGy
Dose in ,Cornea:1_7.stl, 0, picoGy
Dose in ,Glaskörper:1_27.stl, 0, picoGy
Dose in ,PapilleSclera:1_1.stl, 0, picoGy
Dose in ,Sehnerv:1_5.stl, 0, picoGy
Dose in ,Netzhaut:1_13.stl, 0, picoGy
Dose in ,Applikator:1_0.stl, 4.09962, nanoGy
Dose in ,Sclera:1_7.stl, 0, picoGy
Dose in ,Choroidea:1_21.stl, 0, picoGy
Dose in ,Kammerwasser:1_2.stl, 0, picoGy
Dose in ,Kammerwasser:1_0.stl, 1.52973, nanoGy
Dose in ,Choroidea:1_23.stl, 0, picoGy
Dose in ,Sclera:1_5.stl, 2.41777, nanoGy
Dose in ,Netzhaut:1_11.stl, 0, picoGy
Dose in ,Applikator:1_2.stl, 489.482, picoGy
Dose in ,Glaskörper:1_19.stl, 766.452, picoGy
Dose in ,Sehnerv:1_7.stl, 1.22637, nanoGy
Dose in ,PapilleSclera:1_3.stl, 11.045, nanoGy
Dose in ,Glaskörper:1_25.stl, 712.813, picoGy
Dose in ,Netzhaut:1_5.stl, 1.92343, nanoGy
Dose in ,Cornea:1_5.stl, 0, picoGy
Dose in ,Cornea:1_4.stl, 9.52031, nanoGy
Dose in ,Netzhaut:1_4.stl, 1.71368, nanoGy
Dose in ,Sehnerv:1_6.stl, 0, picoGy
Dose in ,Glaskörper:1_24.stl, 3.66127, nanoGy
Dose in ,PapilleSclera:1_2.stl, 0, picoGy
Dose in ,Glaskörper:1_18.stl, 9.51717, nanoGy
Dose in ,Applikator:1_3.stl, 1.32984, nanoGy
Dose in ,Netzhaut:1_10.stl, 724.229, picoGy
Dose in ,Sclera:1_4.stl, 1.86971, nanoGy
Dose in ,Choroidea:1_22.stl, 1.62273, nanoGy
Dose in ,Kammerwasser:1_1.stl, 1.01758, nanoGy
Dose in ,Choroidea:1_26.stl, 5.38606, nanoGy
Dose in ,Kammerwasser:1_5.stl, 753.876, picoGy
Dose in ,Netzhaut:1_14.stl, 2.45412, nanoGy
Dose in ,Applikator:1_7.stl, 5.78789, nanoGy
Dose in ,Linse:1_1.stl, 0, picoGy
Dose in ,Sclera:1_0.stl, 2.16817, nanoGy
Dose in ,Glaskörper:1_20.stl, 397.42, picoGy
Dose in ,Sehnerv:1_2.stl, 0, picoGy
Dose in ,Netzhaut:1_0.stl, 0, picoGy
Dose in ,Cornea:1_0.stl, 1.65993, nanoGy
Dose in ,Cornea:1_1.stl, 3.74144, nanoGy
Dose in ,Netzhaut:1_1.stl, 4.14952, nanoGy
Dose in ,Glaskörper:1_21.stl, 0, picoGy
Dose in ,Sehnerv:1_3.stl, 0, picoGy
Dose in ,Linse:1_0.stl, 0, picoGy
Dose in ,Sclera:1_1.stl, 2.57097, nanoGy
Dose in ,Applikator:1_6.stl, 0, picoGy
Dose in ,Netzhaut:1_15.stl, 4.6363, nanoGy
Dose in ,Kammerwasser:1_4.stl, 6.37095, nanoGy
Dose in ,Choroidea:1_27.stl, 0, picoGy
Dose in ,Choroidea:1_25.stl, 2.46382, nanoGy
Dose in ,Kammerwasser:1_6.stl, 963.027, picoGy
Dose in ,Choroidea:1_19.stl, 1.53238, nanoGy
Dose in ,Applikator:1_4.stl, 0, picoGy
Dose in ,Netzhaut:1_17.stl, 0, picoGy
Dose in ,Sclera:1_3.stl, 0, picoGy
Dose in ,Linse:1_2.stl, 0, picoGy
Dose in ,Sehnerv:1_1.stl, 547.69, picoGy
Dose in ,Glaskörper:1_23.stl, 0, picoGy
Dose in ,Cornea:1_3.stl, 4.65835, nanoGy
Dose in ,Netzhaut:1_3.stl, 0, picoGy
Dose in ,Netzhaut:1_2.stl, 0, picoGy
Dose in ,Cornea:1_2.stl, 13.5255, nanoGy
Dose in ,Sehnerv:1_0.stl, 0, picoGy
Dose in ,Glaskörper:1_22.stl, 487.15, picoGy
Dose in ,Sclera:1_2.stl, 0, picoGy
Dose in ,Linse:1_3.stl, 1.39924, nanoGy
Dose in ,Netzhaut:1_16.stl, 1.40018, nanoGy
Dose in ,Applikator:1_5.stl, 0, picoGy
Dose in ,Choroidea:1_18.stl, 6.60508, nanoGy
Dose in ,Kammerwasser:1_7.stl, 349.454, picoGy
Dose in ,Choroidea:1_24.stl, 3.38706, nanoGy
Dose in ,Sclera:1_16.stl, 2.39989, nanoGy
Dose in ,Choroidea:1_1.stl, 6.91658, nanoGy
Dose in ,Glaskörper:1_9.stl, 90.1772, picoGy
Dose in ,Glaskörper:1_8.stl, 4.57008, nanoGy
Dose in ,Choroidea:1_0.stl, 0, picoGy
